date,nhs_name,sgtf,other
2020-10-01,East of England,13,239
2020-10-01,London,42,900
2020-10-01,Midlands,14,1050
2020-10-01,North East and Yorkshire,54,2892
2020-10-01,North West,65,3124
2020-10-01,South East,19,306
2020-10-01,South West,11,277
2020-10-02,East of England,14,181
2020-10-02,London,25,618
2020-10-02,Midlands,12,1101
2020-10-02,North East and Yorkshire,32,2972
2020-10-02,North West,66,2872
2020-10-02,South East,16,350
2020-10-02,South West,12,263
2020-10-03,East of England,3,106
2020-10-03,London,8,279
2020-10-03,Midlands,8,583
2020-10-03,North East and Yorkshire,43,2371
2020-10-03,North West,42,2042
2020-10-03,South East,7,146
2020-10-03,South West,7,158
2020-10-04,East of England,6,132
2020-10-04,London,21,478
2020-10-04,Midlands,8,713
2020-10-04,North East and Yorkshire,42,2669
2020-10-04,North West,42,2469
2020-10-04,South East,13,230
2020-10-04,South West,11,172
2020-10-05,East of England,5,218
2020-10-05,London,35,597
2020-10-05,Midlands,24,1467
2020-10-05,North East and Yorkshire,61,2887
2020-10-05,North West,74,3400
2020-10-05,South East,16,264
2020-10-05,South West,8,249
2020-10-06,East of England,29,398
2020-10-06,London,41,908
2020-10-06,Midlands,16,1440
2020-10-06,North East and Yorkshire,60,3283
2020-10-06,North West,60,3483
2020-10-06,South East,15,523
2020-10-06,South West,17,520
2020-10-07,East of England,33,397
2020-10-07,London,51,857
2020-10-07,Midlands,18,1720
2020-10-07,North East and Yorkshire,66,3754
2020-10-07,North West,75,3748
2020-10-07,South East,22,594
2020-10-07,South West,27,645
2020-10-08,East of England,25,407
2020-10-08,London,47,1046
2020-10-08,Midlands,26,1420
2020-10-08,North East and Yorkshire,60,3090
2020-10-08,North West,50,3094
2020-10-08,South East,26,657
2020-10-08,South West,12,608
2020-10-09,East of England,8,179
2020-10-09,London,30,421
2020-10-09,Midlands,15,991
2020-10-09,North East and Yorkshire,45,2166
2020-10-09,North West,45,2172
2020-10-09,South East,9,194
2020-10-09,South West,13,261
2020-10-10,East of England,0,40
2020-10-10,London,4,78
2020-10-10,Midlands,6,430
2020-10-10,North East and Yorkshire,38,1635
2020-10-10,North West,22,1695
2020-10-10,South East,3,48
2020-10-10,South West,1,70
2020-10-11,East of England,2,74
2020-10-11,London,15,309
2020-10-11,Midlands,10,454
2020-10-11,North East and Yorkshire,25,1725
2020-10-11,North West,31,2551
2020-10-11,South East,3,156
2020-10-11,South West,6,161
2020-10-12,East of England,10,238
2020-10-12,London,28,687
2020-10-12,Midlands,31,1920
2020-10-12,North East and Yorkshire,59,3497
2020-10-12,North West,64,4430
2020-10-12,South East,13,282
2020-10-12,South West,14,487
2020-10-13,East of England,18,495
2020-10-13,London,72,1112
2020-10-13,Midlands,21,1670
2020-10-13,North East and Yorkshire,67,3203
2020-10-13,North West,53,3409
2020-10-13,South East,19,573
2020-10-13,South West,12,211
2020-10-14,East of England,19,316
2020-10-14,London,60,1095
2020-10-14,Midlands,11,938
2020-10-14,North East and Yorkshire,80,3206
2020-10-14,North West,38,3239
2020-10-14,South East,21,479
2020-10-14,South West,9,112
2020-10-15,East of England,26,596
2020-10-15,London,73,1420
2020-10-15,Midlands,22,1713
2020-10-15,North East and Yorkshire,59,3109
2020-10-15,North West,39,3346
2020-10-15,South East,42,552
2020-10-15,South West,3,118
2020-10-16,East of England,18,422
2020-10-16,London,58,1264
2020-10-16,Midlands,8,825
2020-10-16,North East and Yorkshire,35,1338
2020-10-16,North West,42,2891
2020-10-16,South East,27,489
2020-10-16,South West,6,104
2020-10-17,East of England,5,35
